artist_id,artist_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AWOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Lucky Dragons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Chandeliers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,Marzipan Marzipan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,"Jack Hertz, PHOBoS, Blue Hell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001,Nick Rivera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002,Carlos Ramirez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10003,Evening Fires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004,Tabla y Cuchillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10005,Blank Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10010,Jason Kaneshiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,Koobaatoo Asparagus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,Jared C. Balogh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10013,Silent Strangers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10014,Chuck Bettis & Toshio Kajiwara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015,Andy & Zeus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,Ami Dang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017,Mind Over Midi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018,stockfinster.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10019,voyageurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020,Delicate Steve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,Julian Lynch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023,Waylon Thornton and the Heavy Hands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10024,Crawl Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10026,Redtheplaneeet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10027,Waylon Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,Ba Babes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,Catholic Spray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031,Holy Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034,Cave Bears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10035,Reve Steich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036,The Meta-matics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10040,Chuck Bettis & Evan Rapport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
